,Player,Mouse,Keyboard
0,Kiin,Abko A660 3360,Logitech G512
1,Cuzz,Logitech G Pro Hero,Logitech G913 TKL
2,Bdd,Logitech G903 HERO,Logitech G Pro X Keyboard
3,Aiming,Logitech G903 HERO,Logitech G512
4,Lehends,Logitech G PRO WIRELESS,Corsair K68
5,Rascal,Logitech G903,Logitech G512 
7,FATE,Logitech G Pro X,Logitech G Pro X Keyboard
8,deokdam,Logitech G PRO WIRELESS,Logitech G Pro X Keyboard
9,BeryL,Logitech G403 HERO,Logitech G512
10,Zeus,Razer Deathadder V2 PRo,Corsair K70 TKL
11,Oner,Logitech G PRO WIRELESS,Logitech G Pro X Keyboard
12,Faker,Razer Deathadder V2 PRo,Logitech G Pro X Keyboard
13,Gumayusi,Razer Deathadder Elite,Logitech G Pro X Keyboard
14,Keria,Logitech G PRO WIRELESS,Corsair K70 MK2 RGB
15,DnDn,Steelseries Aerox 3 WIRELESS,Steelseries Apex PRO
16,Sylvie,Logitech G403,Steelseries Apex PRO
18,Vital,Razer Basilisk Ultimate,Steelseries Apex PRO
19,Peter,Logitech G Pro X,Steelseries Apex PRO
20,Doran,Logitech G Pro X,Corsair K68
21,Peanut,Razer Viper,Logitech G Pro X Keyboard
22,Chovy,Logitech G PRO WIRELESS,Corsair K70 MK2 SE
23,Peyz,Logitech G PRO WIRELESS,Logitech G Pro X Keyboard
24,Delight,Logitech G PRO WIRELESS,Logitech G Pro X Keyboard
25,Canna,Logitech G Pro,Varmilo VA108
26,Canyon,Logitech G Pro,Logitech G512
27,ShowMaker,Logitech G Pro,Logitech G715
28,Deft,Logitech G703,Logitech G Pro X Keyboard
29,Kellin,Logitech G Pro,Logitech G512
30,kingen,Logitech G703,Razer Blackwidow Lite
31,Clid,Logitech G903,Logitech G512
32,Zeka,Logitech G PRO WIRELESS,Razer Blackwidow
33,Viper,Razer Viper 8KHz,Razer Huntsman V2 TKL
34,Life,Logitech G903,Razer Blackwidow V3
35,Burdol,Logitech G PRO WIRELESS,Razer Blackwidow
36,Willer,Razer Viper V2 PRO,Razer Blackwidow V3
37,Clozer,Roccat Kone Pure Ultra,Roccat Vulcan TKL PRO
38,Envyy,Logitech G PRO WIRELESS,Logitech G610
39,Kael,Logitech G102,Logitech G610
40,Morgan,Logitech G Pro X,Logitech G610
41,UmTi,Logitech G903 HERO,Logitech G Pro X Keyboard
42,Karis,Logitech G304,Logitech G512
43,Hena,Logitech G Pro X,Logitech G512
44,Effort,Razer Mamma Elite,Logitech G610
45,DuDu,Logitech G Pro X,Logitech G512
46,YoungJae,Logitech G Pro X,Roccat Pyro RGB
47,Bulldog,Logitech G PRO WIRELESS,Logitech G Pro X Keyboard
48,Taeyoon,Logitech G PRO WIRELESS,Logitech G915 TKL
49,Moham,Logitech G402,Logitech G402
51,Croco,Logitech G304,Logitech G Pro X Keyboard
52,FIESTA,Logitech G Pro X,Steelseries Apex PRO
53,Jun,Logitech G PRO WIRELESS,Logitech G512
54,Teddy,Logitech G 304,Razer Blackwidow Ultimate
