,Role,Player,GPM,VSPM,DPM,KP%,XPD@15
0,ADC,Aiming,1.0476455232376505,0.8804273666523195,0.9613067872782624,1.0295137997905957,1.050713080043682
1,ADC,Deft,0.9849997586497956,0.9778711947665494,1.14176341388846,1.0019859374481972,0.9796153263146913
2,ADC,Gumayusi,1.0463559504877356,1.065802746954295,1.0180335547169501,1.0184441332366343,1.0559481214062867
3,ADC,Hena,0.9254458347085947,0.976623957567818,0.9476596540170547,1.005964263878489,0.955950799118616
4,ADC,Jiwoo,0.9878285965242487,0.9697734607150844,0.9525119909641272,1.0176551004005028,0.9783048771852363
5,ADC,Paduck,0.9581983076784589,0.9392673419177555,0.9569871550596051,1.005831936496596,0.8315800763921575
6,ADC,Peyz,1.0184469424190596,0.9579322698661211,0.9946524352540228,0.9912040074330033,0.9707043859886619
7,ADC,Taeyoon,0.9635760794550965,1.025647825670192,0.9452991760256539,0.9586946217205821,0.9712302719544145
8,ADC,Teddy,0.9681664516258088,1.1683308304310316,0.9794779338807322,1.0013155454189477,1.0292364533045646
9,ADC,Viper,0.9936499045929837,1.1450795780923269,1.0235696287881328,0.9579735333786731,1.0754857353636078
10,JUNGLE,Canyon,1.0121692323893772,0.9454715433194055,1.0841494990431162,0.9978574159163743,1.1826652130616533
11,JUNGLE,Croco,0.9691283563418667,1.034072335743677,1.0839824240702323,1.1233656784404842,0.8309337603564038
12,JUNGLE,Cuzz,1.0035470159113102,1.0196611527674433,0.9706662806966758,1.0467862169629358,1.0036317327263575
13,JUNGLE,Grizzly,1.0003877304842324,0.8027588575353444,1.019314581624612,0.9797365226651575,1.0022323871221903
14,JUNGLE,Oner,1.0204491929461772,0.976307677212033,1.0412589667185124,1.0152732312233657,0.9527730792038861
15,JUNGLE,Peanut,1.0259878152105233,0.9997692604888101,1.0534181462182983,0.9437055037570468,1.0510909902934933
16,JUNGLE,Sylvie,0.9925624235033162,1.252303817755137,0.8651913211183728,0.8449880932808524,0.9226699248968404
17,JUNGLE,UmTi,0.9620866601566239,0.9868582221967833,0.8965911344837384,1.0813090956030016,0.9786692127552472
18,JUNGLE,Willer,1.0029941409615717,1.0672233033789327,0.8944358673335372,1.021125475681593,0.9754291508904015
19,JUNGLE,YoungJae,0.9227009018323856,1.030207200503692,0.9888165195156078,0.9717577319203758,0.7953158171193451
20,MID,Bdd,0.950293299978857,0.8859113288887842,0.9168809667062576,1.0104230143548278,0.9365328082899163
21,MID,Bulldog,0.997675906431388,1.0249018822587106,1.029827493391398,1.0322831276461581,0.9634002351199176
22,MID,Chovy,0.9924282299433517,1.1564927913496197,0.9746221647289469,0.9507418156772663,1.062855373514232
23,MID,Clozer,1.0384974041030293,0.9294453344012815,1.0027934232692426,1.034456355283308,1.0337734186478684
24,MID,FATE,1.0177311976797838,1.035207582432252,1.0949056851386134,1.0576374500795724,0.9945033429557546
25,MID,FIESTA,0.9671439705009945,0.9785262314777734,1.1129456286809312,1.1003775936101854,0.9393111114430005
26,MID,Faker,0.9839682293138499,0.8574948762043865,0.9662756882375155,0.9160793675185598,0.9981786803439674
27,MID,Karis,1.007441635938536,0.9320217594446669,0.8769273415341599,1.0742988619643876,0.9163475194706461
28,MID,ShowMaker,1.0012678988937873,0.9993308637031104,1.0776798651229187,0.9540469327087651,1.014282503763981
29,MID,Zeka,1.0632962872491074,1.0892552544534924,1.0347840267492523,1.0094508224706706,1.0551325941524727
30,SUPPORT,BeryL,0.9755060248421574,1.0910244080387348,1.1889110462217791,0.9573598510274345,0.9427669522369674
31,SUPPORT,Delight,1.015802315024966,0.9738260263978248,1.0167010896659783,0.957192040361172,1.0752471742938734
32,SUPPORT,Effort,0.971204555771056,1.1152351263513964,0.7563991168720178,1.0649488628571842,0.9867059159180779
33,SUPPORT,Kael,0.9907770395741345,1.0753465543543146,0.8621536927569261,0.9871742127334013,0.835053154471935
34,SUPPORT,Kellin,1.0143631618041513,0.9545499767858329,1.1653149704437007,1.0383284974990798,0.9162957052466544
35,SUPPORT,Keria,1.0493482912910967,0.9765063152010158,1.1906457619013706,1.0704722310724522,1.1176551924314158
36,SUPPORT,Lehends,0.9813331844519263,0.9495608815921408,0.9000113114115385,0.9590083440430719,1.0438547332253918
37,SUPPORT,Life,1.0047776906605776,0.9590620002505659,0.9900845935316416,0.9874725428067569,0.960927619083171
38,SUPPORT,Peter,0.97449123731466,1.0607165269564953,0.905376014200172,1.0669660331224113,0.932230432650389
39,TOP,Burdol,1.0025138141200465,0.967199558985667,1.0132792701469844,1.0495377804782775,0.8547285265645741
40,TOP,Canna,0.9656336708800721,0.9732635060639472,0.9844652812975164,0.9234299726574365,1.0129947112720181
41,TOP,DnDn,0.9477918386780766,1.1572809770163683,0.9732309251822683,1.0355680342399667,0.9067180660140958
42,TOP,Doran,1.0495433336495363,0.9104448042998898,1.0304042067916879,0.9926961720411439,1.030493863780498
43,TOP,DuDu,1.032096188962933,0.9969128996692393,1.2995032944754183,1.1241855822229936,1.106823163752502
44,TOP,Kiin,1.0006493787307889,0.9505237045203969,0.9222980829432635,1.036816212531625,1.0026497973470212
45,TOP,Morgan,1.017539782294211,1.0630099228224918,0.9863963507349215,1.0827655049694023,1.004808800199589
46,TOP,Rascal,1.0220299641900064,1.0443253858875414,0.9091231626964015,0.9651436569593331,0.9606268770984938
47,TOP,Zeus,0.9825015499595147,0.9186879823594267,1.0509014553616682,1.037588894331223,1.0256024059508868
48,TOP,kingen,0.9745140354621702,1.1268834987137082,0.9964521033958439,0.9016680410283116,0.9873511097060316
